name,N,rMax_kpc,amp,newtonAmp,rms_fw,rel_rms_fw,sigma_rms_fw,chi2nu_fw,max_sigma_fw,frac_fw_within_1sigma,frac_fw_within_2sigma,frac_fw_within_3sigma,rms_mond,rel_rms_mond,sigma_rms_mond,chi2nu_mond,max_sigma_mond,frac_mond_within_1sigma,frac_mond_within_2sigma,frac_mond_within_3sigma,rms_newton,rel_rms_newton,sigma_rms_newton,chi2nu_newton,max_sigma_newton,delta_sigma_mond_minus_fw,winner_by_sigma,r4,r5,R5-r4,r5r4rmax,r5-r4*rmax*rho4*amp,edge_width_pct,outer_extension_pct,edge_bounded_1pct,edge_bounded_5pct,edge_bounded_10pct,has_mond_components,has_bulge_component,remap_on,remap_delta,remap_rc,n_remapped,max_remap_kpc,mond_disk_ml,mond_bulge_ml,mond_g_dagger_m_s2
UGC03205,48,40.04,1351,236.014,17.104,0.13103,2.995,8.972,11.601,0.5,0.6875,0.79167,21.721,0.10101,3.507,12.3,9.701,0.27083,0.45833,0.58333,66.192,0.32036,10.666,116.181,24.86,0.512,framework,0.99,1,0.01,0.4004,,1,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
DDO154,12,5.92,101.879,30.245,0.636,0.01582,1.399,1.958,2.407,0.5,0.83333,1,4.433,0.20372,9.439,89.091,15.767,0,0,0,2.165,0.11317,4.518,22.264,8.573,8.04,framework,0.95,1.016,0.066,0.39072,,6.598,1.635,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGCA442,8,6.33,103.748,33.29,0.629,0.01241,0.786,0.618,2.153,0.875,0.875,1,3.451,0.10039,2.106,4.437,3.288,0.5,0.5,0.875,3.001,0.14662,1.562,2.79,2.838,1.32,framework,0.956,1.017,0.061,0.38613,,6.039,1.68,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC1705,14,6,104.452,47.056,1.43,0.02138,0.245,0.06,0.601,1,1,1,17.057,0.24892,3.814,14.545,6.382,0,0.21429,0.42857,11.259,0.16329,1.948,4.086,3.404,3.569,framework,0.96,1.023,0.063,0.378,,6.288,2.261,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
F568-V1,15,17.63,104.873,62.11,0.879,0.01138,0.086,0.007,0.234,1,1,1,25.829,0.25726,3.066,9.4,5.977,0.4,0.66667,0.73333,10.059,0.27257,0.67,0.481,1.442,2.98,framework,0.961,0.982,0.021,0.37023,,2.075,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC6195,23,36.43,382.074,169.797,8.371,0.03958,1.284,1.649,3.872,0.69565,0.91304,0.95652,33.31,0.13767,5.154,26.564,8.754,0.08696,0.13043,0.21739,40.774,0.17086,9.07,86.008,20.399,3.87,framework,0.99,1,0.01,0.3643,,1,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
NGC5985,33,34.72,572.118,194.448,4.943,0.01818,0.99,0.98,2.348,0.69697,0.9697,1,70.765,0.25228,12.673,160.601,25.574,0,0,0,40.217,0.14618,6.359,41.696,16.522,11.683,framework,0.99,1,0.01,0.3472,,1,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
NGC4088,12,21.48,104.207,72.626,1.462,0.00867,0.228,0.052,0.463,1,1,1,40.438,0.25304,5.99,35.884,7.994,0,0.08333,0.16667,16.37,0.09885,2.387,6.214,4.129,5.762,framework,0.99,1.006,0.016,0.34368,,1.653,0.629,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC06786,45,34.05,2299.173,316.8,3.789,0.01876,1.505,2.264,5.071,0.73333,0.91111,0.93333,31.231,0.14719,13.032,169.84,39.495,0.13333,0.15556,0.17778,58.398,0.29228,14.331,210.059,30.136,11.527,framework,0.99,1,0.01,0.3405,,1,0,1,1,1,1,1,1,0.021,0.1,7,0.649,0.5,0.7,0
F563-V1,6,7.87,104.009,22.393,0.437,0.01591,0.087,0.008,0.157,1,1,1,29.312,1.14621,5.862,34.368,8.391,0,0,0.16667,2.379,0.13325,0.476,0.272,0.692,5.775,framework,0.991,1.034,0.043,0.33841,,4.3,3.4,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
