name,N,rMax_kpc,amp,newtonAmp,rms_fw,rel_rms_fw,sigma_rms_fw,chi2nu_fw,max_sigma_fw,frac_fw_within_1sigma,frac_fw_within_2sigma,frac_fw_within_3sigma,rms_mond,rel_rms_mond,sigma_rms_mond,chi2nu_mond,max_sigma_mond,frac_mond_within_1sigma,frac_mond_within_2sigma,frac_mond_within_3sigma,rms_newton,rel_rms_newton,sigma_rms_newton,chi2nu_newton,max_sigma_newton,delta_sigma_mond_minus_fw,winner_by_sigma,r4,r5,R5-r4,r5r4rmax,r5-r4*rmax*rho4*amp,edge_width_pct,outer_extension_pct,edge_bounded_1pct,edge_bounded_5pct,edge_bounded_10pct,has_mond_components,has_bulge_component,remap_on,remap_delta,remap_rc,n_remapped,max_remap_kpc,mond_disk_ml,mond_bulge_ml,mond_g_dagger_m_s2
NGC0247,26,14.54,104.45,48.329,0.716,0.01018,0.457,0.209,1.927,0.96154,1,1,5.404,0.06505,2.088,4.359,5.623,0.61538,0.73077,0.84615,2.807,0.04669,1.721,3.08,6.895,1.631,framework,0.99,1,0.01,0.1454,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC6674,15,72.41,1217.169,230.966,9.324,0.04285,2.155,4.643,5.141,0.46667,0.6,0.86667,26.556,0.0964,4.954,24.539,8.467,0.2,0.26667,0.46667,63.566,0.24176,12.539,168.445,21.436,2.799,framework,0.998,1,0.002,0.14482,,0.2,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC08837,8,4.2,103.482,24.286,0.785,0.02332,0.303,0.092,0.611,1,1,1,14.587,0.73671,6.066,36.797,8.501,0,0,0,6.785,0.44488,2.649,8.022,3.746,5.763,framework,0.976,1.01,0.034,0.1428,,3.459,1.033,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGCA444,36,2.62,104.902,23.666,1.191,0.04226,0.273,0.075,0.9,1,1,1,4.905,0.18017,1.417,2.009,2.757,0.38889,0.83333,1,2.035,0.14326,0.531,0.29,1.207,1.144,framework,0.946,1,0.054,0.14148,,5.371,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC07603,12,4.11,104.359,36.841,0.978,0.0167,0.339,0.115,0.969,1,1,1,6.859,0.13926,2.373,5.632,3.061,0.08333,0.33333,0.83333,3.27,0.1028,1.131,1.396,2.092,2.035,framework,0.987,1.021,0.034,0.13974,,3.4,2.1,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
F571-V1,7,13.59,103.45,43.016,1.123,0.01355,0.186,0.035,0.399,1,1,1,6.313,0.13464,0.885,0.783,1.228,0.71429,1,1,4.166,0.11951,0.471,0.259,0.991,0.699,framework,0.99,1,0.01,0.1359,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
DDO161,31,13.37,565.476,68.465,2.029,0.0474,1.671,2.794,7.075,0.74194,0.87097,0.93548,18.512,0.43559,12.231,149.598,24.243,0,0.03226,0.09677,1.92,0.08373,0.995,1.024,2.543,10.56,newtonian,0.99,1,0.01,0.1337,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
F568-1,12,13.23,418.388,98.116,1.615,0.01899,0.143,0.02,0.244,1,1,1,30.06,0.28128,2.628,6.904,4.241,0.25,0.33333,0.75,8.312,0.33763,0.811,0.718,1.933,2.484,framework,0.99,1,0.01,0.1323,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC01281,25,4.99,100,31.559,0.815,0.1234,0.177,0.031,0.44,1,1,1,2.581,0.17778,0.586,0.344,1.242,0.86957,1,1,5.922,1.11221,1.371,1.959,2.507,0.41,framework,0.974,1,0.026,0.12974,,2.6,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
F571-8,13,15.55,263.576,85.794,2.86,0.08512,0.517,0.267,1.096,0.92308,1,1,27.935,0.63227,6.369,40.569,9.294,0.07692,0.15385,0.23077,6.9,0.41073,1.308,1.853,2.611,5.852,framework,0.992,1,0.008,0.1244,,0.782,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC05716,12,12.37,104.724,41.442,0.65,0.01007,0.593,0.351,1.031,0.91667,1,1,5.598,0.08838,6.124,37.507,12.551,0.08333,0.16667,0.41667,3.432,0.06013,3.778,15.573,6.354,5.532,framework,1.023,1.033,0.01,0.1237,,1,3.3,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
DDO170,8,12.33,102.058,35.7,1.022,0.01662,0.982,0.965,2.565,0.875,0.875,1,14.336,0.27141,12.346,152.423,16.271,0,0,0,2.549,0.06854,1.905,4.147,3.604,11.364,framework,0.99,1,0.01,0.1233,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4051,7,12.19,104.835,66.346,2.629,0.01722,0.341,0.116,0.54,1,1,1,24.139,0.16049,3.38,11.422,5.874,0.14286,0.42857,0.57143,10.843,0.08204,1.068,1.331,1.492,3.039,framework,0.99,1,0.01,0.1219,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC08490,30,10.15,104.911,46.798,1.193,0.02066,0.323,0.105,1.125,0.96667,1,1,8.884,0.1231,2.408,5.797,3.855,0.13333,0.33333,0.8,9.437,0.12895,2.557,6.766,4.576,2.084,framework,0.984,0.996,0.012,0.1218,,1.219,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4214,14,5.63,104.933,48.37,1.395,0.02115,0.254,0.065,0.815,1,1,1,15.417,0.21266,2.381,5.669,3.382,0.07143,0.35714,0.78571,9.05,0.12718,1.36,1.991,2.766,2.127,framework,0.977,0.998,0.021,0.11823,,2.132,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC7814,18,19.53,734.312,183.17,8.649,0.03463,1.078,1.162,2.072,0.55556,0.88889,1,20.319,0.09197,5.222,27.271,7.707,0.16667,0.27778,0.33333,62.797,0.25596,7.757,63.716,13.2,4.144,framework,0.994,1,0.006,0.11718,,0.6,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC07399,10,6.13,102.936,50.419,1.104,0.01093,0.279,0.078,0.61,1,1,1,27.366,0.30138,8.741,76.405,12.189,0,0,0,4.073,0.0476,1.269,1.788,2.394,8.462,framework,0.992,1.011,0.019,0.11647,,1.926,1.139,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC5005,18,11.47,404.621,178.669,4.508,0.02,0.198,0.039,0.506,1,1,1,10.867,0.04645,0.737,0.543,1.935,0.77778,1,1,41.091,0.16669,2.312,5.66,4.353,0.539,framework,0.994,1.004,0.01,0.1147,,1,0.4,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
NGC4068,6,2.33,101.575,23.482,0.597,0.02059,0.161,0.026,0.261,1,1,1,11.341,0.84032,4.948,24.486,7.268,0,0,0.33333,5.363,0.67961,1.571,2.962,2.182,4.787,framework,0.955,1.004,0.049,0.11417,,4.844,0.383,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC3877,13,11.35,1007.355,159.067,2.156,0.01551,0.42,0.176,0.895,1,1,1,23.016,0.37044,3.621,13.113,5.625,0.07692,0.23077,0.46154,12.487,0.20384,1.802,3.519,2.874,3.201,framework,0.99,1,0.01,0.1135,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC00731,12,10.91,104.903,40.348,1.314,0.02131,0.493,0.243,0.911,1,1,1,11.449,0.21554,4.044,16.356,6.416,0,0.16667,0.16667,1.485,0.03173,0.555,0.335,0.99,3.551,framework,0.99,1,0.01,0.1091,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
ESO444-G084,7,4.44,104.026,37.039,0.441,0.0116,0.171,0.029,0.296,1,1,1,10.544,0.18726,5.271,27.787,11.345,0,0.42857,0.57143,2.383,0.0997,1.1,1.411,2.546,5.1,framework,0.94,0.964,0.024,0.10656,,2.446,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
KK98-251,15,3.13,103.421,21.815,0.423,0.01901,0.211,0.045,0.52,1,1,1,10.846,0.63685,5.423,29.407,6.86,0,0,0.06667,4.072,0.48527,2.036,4.441,3.097,5.212,framework,0.966,1,0.034,0.10642,,3.4,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC06818,8,6.98,102.874,34.98,1.472,0.023,0.261,0.068,0.556,1,1,1,13.594,0.42769,2.893,8.367,5.061,0.5,0.5,0.625,7.32,0.18927,1.464,2.448,2.147,2.632,framework,1.017,1.032,0.015,0.1047,,1.5,3.197,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
F563-V2,10,10.47,104.148,52.888,1.278,0.0245,0.085,0.007,0.155,1,1,1,23.51,0.25373,2.08,4.328,4.632,0.4,0.5,0.9,9.308,0.45399,1.044,1.212,2.047,1.996,framework,0.99,1,0.01,0.1047,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4010,12,10.47,725.893,107.258,1.686,0.0191,0.308,0.095,0.784,1,1,1,11.463,0.15664,1.996,3.986,3.512,0.41667,0.58333,0.83333,8.373,0.08619,1.596,2.78,3.236,1.689,framework,0.99,1,0.01,0.1047,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
IC2574,34,10.23,283.439,43.372,2.134,0.09423,2.908,8.456,15.423,0.61765,0.85294,0.91176,13.485,0.41397,15.441,238.41,48.985,0.05882,0.08824,0.26471,7.064,0.23539,7.909,64.441,40.174,12.533,framework,0.988,0.998,0.01,0.1023,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC07559,7,2.53,103.829,22.012,0.481,0.01687,0.149,0.022,0.367,1,1,1,10.46,0.52318,3.238,10.487,4.296,0,0,0.42857,2.357,0.19692,0.73,0.621,1.352,3.089,framework,0.973,1.013,0.04,0.1012,,4.06,1.349,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC05414,6,4.11,104.885,32.938,0.824,0.01373,0.338,0.114,0.793,1,1,1,8.177,0.22263,3.335,11.125,3.939,0,0,0.16667,3.933,0.15773,1.599,3.069,2.985,2.998,framework,0.97,0.994,0.024,0.09864,,2.355,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
F561-1,6,9.66,102.442,31.116,0.909,0.02073,0.178,0.032,0.29,1,1,1,32.442,0.72774,6.34,40.197,9.621,0,0.16667,0.16667,2.451,0.07955,0.41,0.202,0.695,6.163,framework,0.99,1,0.01,0.0966,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC08286,17,8.04,104.786,45.107,1.069,0.01331,0.531,0.282,1.567,0.88235,1,1,11.205,0.16016,5.212,27.163,9.394,0.05882,0.05882,0.17647,5.45,0.12251,2.503,6.655,4.926,4.681,framework,0.988,1,0.012,0.09648,,1.2,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC0100,21,9.62,103.285,43.694,1.02,0.02518,0.211,0.045,0.381,1,1,1,6.002,0.30706,1.367,1.869,2.807,0.66667,0.7619,1,4.665,0.40157,1.02,1.092,2.902,1.156,framework,0.99,1,0.01,0.0962,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
CamB,9,1.79,100,13.589,0.568,0.08314,0.379,0.143,0.757,1,1,1,15.602,2.0481,10.402,108.193,12.062,0,0,0,2.716,0.58027,1.811,3.689,3.542,10.023,framework,0.948,1,0.052,0.09308,,5.2,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC07089,12,9.16,618.321,70.262,1.216,0.02154,0.264,0.07,0.556,1,1,1,15.008,0.28457,3.165,10.014,4.519,0,0.25,0.5,5.452,0.10641,0.967,1.02,1.28,2.9,framework,0.988,0.998,0.01,0.0916,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC2976,27,2.27,635.827,67.451,2.265,0.0932,0.731,0.534,1.607,0.88889,1,1,5.419,0.3357,1.743,3.039,3.007,0.33333,0.62963,0.96296,10.897,0.47506,2.954,9.065,5.506,1.013,framework,0.962,1,0.038,0.08626,,3.8,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC07232,4,0.82,102.335,24.824,0.427,0.01095,0.13,0.017,0.214,1,1,1,4.195,0.15143,1.271,1.616,1.9,0.25,1,1,4.451,0.19408,1.349,2.425,1.823,1.142,framework,0.918,1.015,0.097,0.07954,,9.7,1.5,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC2366,26,6.06,104.562,33.084,0.751,0.02826,0.328,0.108,0.787,1,1,1,11.339,0.39005,5.036,25.357,8.402,0,0.03846,0.19231,4.001,0.36286,1.984,4.093,4.928,4.707,framework,0.991,1.004,0.013,0.07878,,1.253,0.389,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC06973,9,7.85,104.303,73.724,1.582,0.00886,0.23,0.053,0.476,1,1,1,42.873,0.25079,9.538,90.975,20.209,0.33333,0.33333,0.44444,16.83,0.09693,3.283,12.127,6.446,9.308,framework,0.995,1.005,0.01,0.0785,,1,0.541,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC07866,7,2.32,103.515,22.458,0.451,0.01476,0.111,0.012,0.268,1,1,1,8.082,0.31305,1.986,3.944,2.621,0.14286,0.42857,1,1.208,0.07698,0.297,0.103,0.572,1.875,framework,0.968,1,0.032,0.07424,,3.232,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
D631-7,16,7.19,103.691,32.154,0.659,0.01276,0.189,0.036,0.523,1,1,1,10.481,0.55178,5.482,30.051,8.984,0.375,0.375,0.4375,3.869,0.28516,1.905,3.871,5.588,5.293,framework,0.998,1.008,0.01,0.0719,,1,0.8,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC04325,8,5.59,103.918,47.4,0.567,0.00696,0.186,0.035,0.294,1,1,1,16.551,0.22211,5.418,29.35,8.407,0,0,0.125,4.83,0.07513,1.583,2.864,2.489,5.232,framework,0.97,0.982,0.012,0.06708,,1.2,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC3109,25,6.45,581.246,58.316,1.401,0.03998,0.688,0.474,2.167,0.88,0.96,1,5.056,0.14828,2.318,5.371,5.079,0.28,0.48,0.8,7.218,0.33433,3.819,15.196,11.292,1.629,framework,0.99,1,0.01,0.0645,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4085,7,6.2,349.561,88.708,1.332,0.01206,0.245,0.06,0.476,1,1,1,22.092,0.38572,3.623,13.127,5.362,0,0.14286,0.42857,9.452,0.18407,1.501,2.628,2.697,3.378,framework,0.998,1.008,0.01,0.062,,1,0.8,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC07151,11,5.5,104.175,40.882,0.81,0.01363,0.354,0.125,0.685,1,1,1,5.531,0.107,1.963,3.853,2.946,0.09091,0.54545,1,3.873,0.11007,1.701,3.184,3.625,1.609,framework,0.99,1,0.01,0.055,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC6789,4,0.71,103.768,27.498,0.578,0.01099,0.065,0.004,0.122,1,1,1,15.461,0.29883,2.473,6.115,3.802,0.25,0.5,0.75,8.087,0.2624,1.298,2.245,1.61,2.408,framework,0.924,1,0.076,0.05396,,7.6,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC06923,6,5.16,104.463,41.674,0.548,0.00868,0.107,0.011,0.151,1,1,1,8.954,0.17983,1.485,2.205,2.31,0.33333,0.83333,1,3.069,0.05784,0.552,0.366,0.966,1.378,framework,0.99,1,0.01,0.0516,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC05918,8,4.46,104.197,28.29,0.861,0.02085,0.219,0.048,0.571,1,1,1,4.331,0.10835,1.102,1.214,1.979,0.5,1,1,1.235,0.06729,0.314,0.113,0.797,0.883,framework,0.992,1.002,0.01,0.0446,,1,0.187,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
DDO168,10,4.12,104.919,31.752,0.693,0.01692,0.444,0.197,0.883,1,1,1,7.823,0.30584,5.483,30.059,10.028,0.2,0.4,0.6,4.079,0.16668,2.636,7.72,4.325,5.038,framework,0.978,0.988,0.01,0.0412,,1.051,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC04278,25,6.69,104.413,38.269,1.728,0.03711,0.362,0.131,1.27,0.96,1,1,7.639,0.16951,1.789,3.202,4.096,0.68,0.76,0.8,8.172,0.38921,1.568,2.562,3.461,1.428,framework,0.994,1,0.006,0.04014,,0.6,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
D512-2,4,3.83,207.025,33.132,0.726,0.02736,0.225,0.05,0.407,1,1,1,6.543,0.19679,1.632,2.664,1.954,0,1,1,1.58,0.04656,0.456,0.278,0.763,1.408,framework,0.99,1,0.01,0.0383,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC05764,10,3.62,104.921,35.017,1.019,0.02093,1.668,2.784,4.48,0.7,0.9,0.9,8.495,0.21493,14.822,219.698,30.433,0.2,0.2,0.2,3.734,0.09203,2.896,9.321,6.093,13.154,framework,0.99,1,0.01,0.0362,,1,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC09992,5,3.89,104.647,26.035,0.701,0.02046,0.124,0.015,0.276,1,1,1,15.308,0.45806,2.705,7.315,3.78,0.2,0.4,0.6,3.172,0.10642,0.56,0.393,0.97,2.581,framework,0.991,1,0.009,0.03501,,0.937,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC04483,8,1.21,103.667,19.499,0.516,0.0251,0.374,0.14,0.686,1,1,1,5.261,0.33125,3.354,11.25,5.874,0.125,0.125,0.5,1.431,0.21194,0.699,0.559,1.309,2.98,framework,0.956,0.984,0.028,0.03388,,2.781,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGCA281,7,1.08,101.225,21.589,0.433,0.01622,0.243,0.059,0.584,1,1,1,2.92,0.13778,1.831,3.352,2.387,0.14286,0.71429,1,1.701,0.20305,0.941,1.032,1.66,1.587,framework,0.968,0.999,0.031,0.03348,,3.068,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
DDO064,14,2.98,104.7,28.623,0.758,0.02423,0.14,0.02,0.257,1,1,1,3.521,0.16067,0.632,0.399,1.169,0.92857,1,1,4.771,0.28969,1.022,1.125,1.658,0.492,framework,0.996,1.006,0.01,0.0298,,1,0.586,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
IC4202,32,25.9,104.754,91.62,4.264,0.02267,0.613,0.375,1.404,0.875,1,1,25.621,0.48077,6.116,37.408,21.543,0.5,0.65625,0.65625,21.496,0.25185,4.088,17.249,11.135,5.504,framework,0.999,1,0.001,0.0259,,0.111,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC07577,9,1.69,65.328,11.286,0.441,0.02807,0.139,0.019,0.388,1,1,1,13.113,1.20806,4.137,17.112,5.175,0.11111,0.11111,0.22222,1.847,0.25578,0.583,0.382,1.017,3.998,framework,0.989,1,0.011,0.01859,,1.068,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC07323,10,5.82,103.9,39.534,1.078,0.0138,0.279,0.078,0.826,1,1,1,9.249,0.18322,2.39,5.712,2.962,0,0.2,1,5.81,0.1432,1.501,2.505,1.959,2.111,framework,0.998,1,0.002,0.01164,,0.157,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC05986,15,9.41,504.236,99.393,5.483,0.06231,1.361,1.852,2.19,0.46667,0.93333,1,15.237,0.153,5.484,30.072,9.673,0.06667,0.13333,0.26667,9.613,0.14749,2.634,7.432,5.161,4.123,framework,1.045,1,-0.045,-0.42345,,0,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC0289,28,71.12,140.5,91.829,9.123,0.0538,0.939,0.882,2.339,0.71429,0.96429,1,23.447,0.14058,3.408,11.615,8.078,0.21429,0.39286,0.57143,41.883,0.23914,4.405,20.124,11.575,2.469,framework,1.024,1,-0.024,-1.70688,,0,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
